718493943952846848	The Curious Incident of Dog the Bounty Hunter in the Nighttime #BroadwayACeleb @midnight #PointsMe
718467688549466112	Ferrellzapoppin #BroadwayACeleb @midnight
718493874432425984	La Bohem-inem #BroadwayACeleb @midnight #8mile
718495756529721344	Book of Norman Lear. #BroadwayACeleb  @midnight
718478798719741953	La Nicholas Cage aux Follies #BroadwayACeleb @midnight
718491807080923136	@ronnypascale @midnight  Or, The Lyin' King!   #BroadwayACeleb
718474159471222784	#BroadwayACeleb "Chris" Rock of Ages @midnight
718500245835882500	The Lion Don King #BroadwayACeleb @midnight
718500001329111040	@midnight WicKid Rock #BroadwayACeleb
718467538783498240	American Idiot. It's about Donald Trump #BroadwayACeleb  @midnight  @broadwayidiot  @IdiotOnTour  @realDonaldTrump
718486187133046784	#BroadwayACeleb @midnight Young Frank Sinatra
718461948300521472	Manfred Mann of La Mancha #BroadwayACeleb  @midnight
718467279982301184	@midnight Mamma Mia Farrow #BroadwayACeleb
718484403408736256	@midnight  #BroadwayACeleb  Martin Luther King &amp; I
718484052345544704	#BroadwayACeleb @midnight 7 Danny McBrides for 7 brothers
718498158125326337	Of course! "@Eryn_NotErin: Chris Hard-Wicked #BroadwayACeleb @midnight @hardwick"
718501469427662849	Annie Lenox #BroadwayACeleb @midnight
718488300068077568	The Gentleman's Guide to Questlove and Murder #BroadwayACeleb @midnight #PointsMe
718501532778541056	Catssandra Peterson #BroadwayACeleb @midnight
718499546100158464	Cats'tevens #BroadwayACeleb @midnight
718468060500344834	Anne Bancroft get your gun @midnight #BroadwayACeleb
718503555783598080	Beauty and James Best #BroadwayACeleb @midnight https://t.co/NzazGssAie
718495019401764864	The Music Mandy Patinkin #BroadwayACeleb @midnight
718476154886295552	@midnight #BroadwayACeleb Sweeney Todd McFarlane
718489190921478145	Mamma Mia Tequila #BroadwayACeleb @midnight #PointsMe
718465772725673985	Jon Hammilton #BroadwayACeleb @Midnight #HashtagWars @JonHamm
718465844976754688	@midnight  Cat Stevens on a hot tin roof.  #BroadwayACeleb
718464633791758336	Mary Hopkin Poppins #BroadwayACeleb @midnight
718498363172212740	#BroadwayACeleb @midnight Cornel West Side Story
718495056815124480	Into the James Woods #BroadwayACeleb @midnight @RealJamesWoods
718492320266526720	A Gentleman's Guide To Merle Haggard. RIP #BroadwayACeleb @midnight
718488449020375041	Larry King and I #BroadwayACeleb @midnight #PointsMe
718465203109773312	@midnight Sweeny Todd Chrisley #BroadwayACeleb
718492096160641024	Jerry Springer Awakening #BroadwayACeleb @midnight
718476703165755392	Phantom of the Oprah @midnight #BroadwayACeleb
718468628648194050	Wes Craven Miserables @midnight #BroadwayACeleb
718487338863697921	Amber's Irish Rose @midnight #BroadwayACeleb
718502946388840453	@midnight #BroadwayACeleb CatsWilliams
718466065580343296	Macho Man Randy Savage of La Mancha #BroadwayACeleb @midnight
718479522845356032	Where's Charlie Sheen #BroadwayACeleb @midnight
718494119039905792	The Book of Macklemormon  #BroadwayACeleb @midnight
718503857320435713	The Stephen King &amp; I #BroadwayACeleb .@midnight
